,יום מכירה,כתובת,גוש חלקה - תת חלקה,סוג נכס,חדרים,קומה,"מ""ר",סכום,מגמת שינוי
0,25.04.2022,תל חי 12,3928-506-8,דירה בבית קומות,4,רביעית,81,"1,820,000",NaN
1,21.04.2022,הרצל 51,3929-116-7,דירה בבית קומות,4,שניה,128.03,"2,100,000",164% ב 20.1 שנים
2,13.02.2002,הרצל 51,3929-116-7,דירה בבית קומות,4,שניה,128.03,"794,000",164% ב 20.1 שנים
3,19.04.2022,"איתמר בן אב""י 12",3932-245-10,דירה בבית קומות,4,שלישית,86.06,"1,920,000",53% ב 7.1 שנים
4,16.02.2015,"איתמר בן אב""י 12",3932-245-10,דירה בבית קומות,4,שלישית,86.06,"1,250,000",53% ב 7.1 שנים
5,04.08.1998,"איתמר בן אב""י 12",3932-245-10,דירה בבית קומות,4,שלישית,86.06,"616,000",53% ב 7.1 שנים
6,14.04.2022,ברון דבורה 7,3945-503-17,דירה בבית קומות,4,שישית,95,"2,300,000",NaN
7,14.04.2022,צייטלין 5,7282-67-21,דירה בבית קומות,4,שלישית,92,"2,150,000",138% ב 9.4 שנים
8,23.11.2012,צייטלין 5,7282-67-21,דירה בבית קומות,4,שלישית,92,"900,000",138% ב 9.4 שנים
9,14.04.2022,מעגל השלום 3,5096-7-96,דירה בבית קומות,4,עשירית,106,"3,465,000",34% ב 4.1 שנים
10,13.02.2018,מעגל השלום 3,5096-7-96,דירה בבית קומות,4,עשירית,106,"2,570,000",34% ב 4.1 שנים
11,06.01.1999,מעגל השלום 3,5096-7-96,דירה בבית קומות,4,עשירית,106,"1,781,000",34% ב 4.1 שנים
12,13.04.2022,לוין מיכאל וחנה 16,6286-272-125,דירה בבית קומות,4,שלישית,81.30,"2,050,000",16% ב 1.8 שנים
13,01.06.2020,לוין מיכאל וחנה 16,6286-272-125,דירה בבית קומות,4,שלישית,81.30,"1,760,000",16% ב 1.8 שנים
14,05.11.2014,לוין מיכאל וחנה 16,6286-272-125,דירה בבית קומות,4,שלישית,81.30,"1,280,000",16% ב 1.8 שנים
15,20.09.2010,לוין מיכאל וחנה 16,6286-272-125,דירה בבית קומות,4,שלישית,81.30,"1,080,000",16% ב 1.8 שנים
16,12.07.2001,לוין מיכאל וחנה 16,6286-272-125,דירה בבית קומות,4,שלישית,81.30,"645,000",16% ב 1.8 שנים
17,13.04.2022,נעמן 2,3928-731-11,דירה בבית קומות,4,רביעית,72.65,"2,225,000",36% ב 6.7 שנים
18,16.07.2015,נעמן 2,3928-731-11,דירה בבית קומות,4,רביעית,72.65,"1,625,000",36% ב 6.7 שנים
19,05.02.2001,נעמן 2,3928-731-11,דירה בבית קומות,4,רביעית,72.65,"765,000",36% ב 6.7 שנים
20,12.04.2022,"צ""ג בנות 40",3929-1095-6,דירה בבית קומות,4,חמישית,118,"2,180,000",NaN
21,12.04.2022,קדוש השם 10,3929-418-2,דירה בבית קומות,4,ראשונה,82.50,"1,725,000",146% ב 13.7 שנים
22,24.07.2008,קדוש השם 10,3929-418-2,דירה בבית קומות,4,ראשונה,82.50,"700,000",146% ב 13.7 שנים
23,12.04.2022,הגיתית 12,5183-79-47,דירה בבית קומות,4,שישית,92,"2,680,000",270% ב 23.8 שנים
24,15.06.1998,הגיתית 12,5183-79-47,דירה בבית קומות,4,שישית,92,"724,000",270% ב 23.8 שנים
25,11.04.2022,שיבת ציון 7,3937-52-1,דירה בבית קומות,4,ראשונה,66,"2,050,000",192% ב 15.9 שנים
26,04.05.2006,שיבת ציון 7,3937-52-1,דירה בבית קומות,4,ראשונה,66,"701,000",192% ב 15.9 שנים
27,12.03.1999,שיבת ציון 7,3937-52-1,דירה בבית קומות,4,ראשונה,66,"505,000",192% ב 15.9 שנים
28,11.04.2022,יוחנן הסנדלר 8,3929-937-38,דירה בבית קומות,4,עשירית,83.30,"2,440,000",31% ב 4.5 שנים
29,23.10.2017,יוחנן הסנדלר 8,3929-937-38,דירה בבית קומות,4,עשירית,83.30,"1,850,000",31% ב 4.5 שנים
30,11.04.2022,דן 15,5387-39-9,דירה בבית קומות,4,קרקע,91.76,"3,000,000",60% ב 12.1 שנים
