יום מכירה,כתובת,גוש חלקה - תת חלקה,סוג נכס,חדרים,קומה,"מ""ר",סכום,מגמת שינוי
21.11.2021,ירושלים 22,3937-15-3,קוטג' דו משפחתי,1.0,ראשונה,,"1,772,000",
25.08.2021,,3629-323-81,,1.0,,55.0,"275,822",
01.07.2021,,3942-103-6,עסק,1.0,,65.0,"4,971,751",
29.06.2021,,3946-344-83,עסק,1.0,,122.0,"3,033,883",
31.05.2021,,3946-344-77,,1.0,רביעית,40.0,"611,394",
18.05.2021,,3946-344-76,עסק,1.0,,152.0,"3,249,908",
10.05.2021,חיל התותחנים 26,2717-23-32,דירה בבית קומות,1.0,שביעית,121.4,"3,380,000",157% ב 16.7 שנים
21.04.2021,ברנשטיין 68,6287-21-2,קוטג' דו משפחתי,1.0,ראשונה,406.0,"5,300,000",
01.04.2021,,3947-95-37,עסק,1.0,,118.0,"1,985,920",
23.02.2021,ויצמן 4,3928-905-17,אחר,1.0,,42.0,"172,836",
22.02.2021,הגדוד העברי 6,3931-9-1,קומבינציה,1.0,ראשונה,,"7,060,000",
07.12.2020,,3946-344-63,עסק,1.0,,562.0,"12,870,000",
02.12.2020,,3947-95-51,חנות,1.0,ראשונה,119.0,"1,898,000",
26.11.2020,,4246-285-130,אחר,1.0,,57.0,"268,599",
10.11.2020,,3628-70-1,קוטג' חד משפחתי,1.0,ראשונה,666.0,"12,000,000",
04.11.2020,נחמה 21,3932-94-1,דירה בבית קומות,1.0,קרקע,27.0,"350,000",
01.07.2020,"אח""י מזנק 28",2709-40-1,קוטג' דו משפחתי,1.0,,337.0,"5,200,000",
29.06.2020,,3942-103-5,משרד,1.0,ראשונה,125.0,"1,213,437",
09.06.2020,"איתמר בן אב""י 15",3932-186-1,קוטג' דו משפחתי,1.0,שניה,199.0,"3,526,000",
21.05.2020,,3942-103-53,משרד,1.0,שניה,65.0,"724,643",
12.05.2020,,3942-103-54,משרד,1.0,שניה,178.0,"1,789,377",
02.02.2020,,5030-166-2,משרד,1.0,,46.0,"638,305",
02.02.2020,,5030-166-3,משרד,1.0,,51.0,"704,911",
21.01.2020,,5032-38-1,משרד,1.0,,67.0,"600,631",
21.01.2020,,5032-38-2,משרד,1.0,,46.0,"738,768",
16.01.2020,,3947-95-54,משרד,1.0,שביעית,98.0,"1,407,420",
15.01.2020,,3947-95-18,משרד,1.0,,98.0,"1,407,420",
15.01.2020,,3947-95-19,משרד,1.0,,129.0,"1,789,479",
11.12.2019,עזרא 5,4242-414-1,קוטג' דו משפחתי,1.0,,298.0,"2,100,000",
10.12.2019,,3947-95-56,משרד,1.0,שביעית,114.0,"1,597,981",
10.12.2019,,3947-95-17,משרד,1.0,שביעית,141.0,"1,936,970",
27.11.2019,,3925-738-99,דירה בבית קומות,1.0,,,"4,032,000",
19.11.2019,פוזננסקי מנחם 2,7282-91-8,דירה בבית קומות,1.0,שניה,35.0,"1,934,000",
17.11.2019,,5030-166-1,משרד,1.0,,51.0,"639,531",
13.11.2019,פרס שמעון 33,5097-95-3,אחר,1.0,,97.0,"400,000",
30.10.2019,"אח""י מזנק 80",2709-52-2,דירה בבית קומות,1.0,,324.0,"17,212,000",
15.09.2019,,3946-344-35,עסק,1.0,,3999.0,"92,430,000",
13.08.2019,,5032-29-45,משרד,1.0,,87.0,"541,429",
12.08.2019,,5032-29-43,משרד,1.0,,52.0,"964,618",
12.08.2019,,5032-29-44,דירה,1.0,,88.0,"1,153,302",
27.07.2019,,5032-29-41,משרד,1.0,,87.0,"1,020,476",
27.07.2019,,5032-29-42,משרד,1.0,,86.0,"1,157,486",
14.07.2019,הברון הירש 18,3928-501-1,דירה בבית קומות,1.0,קרקע,21.5,"790,000",29% ב 2.8 שנים
16.06.2019,,3947-95-14,משרד,1.0,,131.0,"1,894,822",
18.05.2019,,5032-29-40,משרד,1.0,,88.0,"773,426",
12.05.2019,,3946-344-26,אחר,1.0,,102.0,"2,399,436",
12.05.2019,,3946-344-27,אחר,1.0,,102.0,"2,402,010",
12.05.2019,,3946-344-28,אחר,1.0,,153.0,"3,600,792",
01.05.2019,,3946-344-24,אחר,1.0,,101.0,"2,281,500",
30.04.2019,,3947-60-58,משרד,1.0,שלישית,76.0,"1,342,768",
29.04.2019,,3932-55-12,עסק,1.0,,44.0,"1,347,554",
26.03.2019,,5032-29-39,משרד,1.0,,166.0,"598,287",
19.03.2019,ויצמן 4,3928-905-3,עסק,1.0,,95.0,"2,100,000",
13.03.2019,,5032-29-38,משרד,1.0,,46.0,"951,279",
05.03.2019,,5032-29-35,משרד,1.0,,88.0,"892,237",
05.03.2019,,5032-29-33,משרד,1.0,,46.0,"726,805",
05.03.2019,,5032-29-36,משרד,1.0,,87.0,"971,472",
05.03.2019,,5032-29-30,משרד,1.0,,72.0,"455,168",
05.03.2019,,5032-29-32,משרד,1.0,,51.0,"708,168",
05.03.2019,,5032-29-37,משרד,1.0,,91.0,"1,144,938",
05.03.2019,,5032-29-36,משרד,1.0,,87.0,"971,472",
05.03.2019,,5032-29-37,משרד,1.0,,91.0,"1,144,938",
21.02.2019,,3946-344-22,משרד,1.0,חמישית,40.0,"607,935",
18.02.2019,,5032-29-29,משרד,1.0,,109.0,"685,456",
10.02.2019,יהודה לייב 10,3932-135-5,דירה בבית קומות,1.0,קרקע,22.3,"590,000",115% ב 11 שנים
06.02.2019,,3946-344-21,אחר,1.0,,81.0,"2,008,890",
