Unnamed: 0,חדרים,"מ""ר",סכום,גוש,חלקה,נכס,שנה
1,5.0,111.85,3400000,2717,36,56,2022
2,5.0,111.85,2570000,2717,36,56,2019
3,5.0,111.85,1450000,2717,36,56,2008
4,5.0,119.73,2830000,4746,8,7,2022
5,5.0,119.73,1730000,4746,8,7,2013
6,5.0,112.6,3120000,5116,96,8,2022
7,5.0,112.6,1650000,5116,96,8,2013
8,5.0,155.03,3200000,3929,940,4,2022
9,5.0,155.03,929000,3929,940,4,2007
11,5.0,110.86,2650000,3945,905,16,2022
12,5.0,110.86,1800000,3945,905,16,2015
15,5.0,149.66,2670000,3928,776,32,2022
16,5.0,149.66,1360000,3928,776,32,2009
17,5.0,149.66,1300000,3928,776,32,2009
19,5.0,106.1,2430000,3926,1164,14,2022
20,5.0,106.1,1790000,3926,1164,14,2016
21,5.0,106.1,825000,3926,1164,14,2004
25,7.0,195.4,4500000,6286,287,2,2022
26,7.0,195.4,1291000,6286,287,2,2007
28,6.0,110.79,2050000,3930,642,3,2022
29,6.0,110.79,1640000,3930,642,3,2014
30,5.0,95.06,3130000,5039,7,25,2022
31,5.0,95.06,2500000,5039,7,25,2020
33,5.0,108.0,3500000,5096,3,96,2022
34,5.0,108.0,1272000,5096,3,96,2002
35,5.0,105.0,2220000,3928,831,37,2022
36,5.0,105.0,1700000,3928,831,37,2016
37,5.0,145.4,5200000,6286,325,36,2022
38,5.0,145.4,2637000,6286,325,36,2015
39,5.0,145.4,2149000,6286,325,36,2011
43,5.0,125.6,2870000,5039,48,49,2022
44,5.0,125.6,2325000,5039,48,49,2020
46,5.0,113.54,2700000,3928,77,1,2022
47,5.0,113.54,927000,3928,77,1,2002
48,5.0,100.88,2000000,3939,308,4,2022
49,5.0,100.88,720000,3939,308,4,2002
60,5.0,101.23,1900000,3929,827,7,2022
61,5.0,101.23,1800000,3929,827,7,2019
62,5.0,101.23,1380000,3929,827,7,2012
63,5.0,101.23,750000,3929,827,7,2008
64,5.0,101.23,593000,3929,827,7,1998
66,6.0,143.09,2720000,3937,28,10,2022
67,6.0,143.09,1235000,3937,28,10,2008
81,5.0,118.28,2291000,3928,220,1,2022
82,5.0,118.28,1200000,3928,220,1,2009
88,5.0,169.96,3260000,3930,572,78,2022
89,5.0,169.96,1915000,3930,572,78,2013
91,7.0,269.1,5000000,5435,97,2,2022
92,7.0,269.1,3100000,5435,97,2,2013
94,5.0,125.6,2440000,6287,155,36,2022
95,5.0,125.6,1255000,6287,155,36,2009
97,5.0,108.43,1892000,5115,25,62,2022
98,5.0,108.43,1180000,5115,25,62,2008
101,6.0,145.6,4010000,4746,72,3,2022
